hostid,groupid,itemid,hostgroup,hostname,itemname
10666,45,83724,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange ADAM
10666,45,83744,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Active Directory Topology
10666,45,83745,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Anti-spam update
10666,45,83746,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Compliance
10666,45,83743,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Compliance Audit
10666,45,83749,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Credential
10666,45,83747,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange DAG Management
10666,45,83742,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Diagnostics
10666,45,83751,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange EdgeSync
10666,45,83738,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Emergency Mitigation
10666,45,83753,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Frontend Transport
10666,45,83755,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Health Manager
10666,45,83754,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Health Manager Recovery
10666,45,83750,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange IMAP4
10666,45,83756,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange IMAP4 Backend
10666,45,83740,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Information Store
10666,45,83725,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Mailbox Assistants
10666,45,83739,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Mailbox Replication
10666,45,83737,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Notifications Broker
10666,45,83735,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange POP3
10666,45,83736,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange POP3 Backend
10666,45,83733,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange RPC Client Access
10666,45,83734,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Replication
10666,45,83741,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Search Host Controller
10666,45,83752,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Search Indexer
10666,45,83757,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Server Extension for Windows Server Backup
10666,45,83732,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Service Host
10666,45,83730,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Throttling
10666,45,83728,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Transport
10666,45,83748,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Transport Delivery
10666,45,83729,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Transport Log Search
10666,45,83731,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Transport Submission
10666,45,83726,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Unified Messaging
10666,45,83727,9 Templates Group,Template Microsoft Exchange Server 2013 - 2019,Service status Microsoft Exchange Unified Messaging Call Router
10962,72,96591,AWS,aws cost http,AWS Cost: Get daily costs
10962,72,96592,AWS,aws cost http,AWS Cost: Get monthly costs
10962,72,96739,AWS,aws cost http,"AWS Cost: Service [""AWS Cost Explorer""]: Blended daily cost"
10962,72,96599,AWS,aws cost http,"AWS Cost: Service [""AWS Key Management Service""]: Blended daily cost"
10962,72,96601,AWS,aws cost http,"AWS Cost: Service [""Amazon Elastic Compute Cloud - Compute""]: Blended daily cost"
10962,72,96602,AWS,aws cost http,"AWS Cost: Service [""Amazon Simple Notification Service""]: Blended daily cost"
10962,72,96603,AWS,aws cost http,"AWS Cost: Service [""Amazon Simple Queue Service""]: Blended daily cost"
10962,72,96604,AWS,aws cost http,"AWS Cost: Service [""Amazon Simple Storage Service""]: Blended daily cost"
10962,72,96605,AWS,aws cost http,"AWS Cost: Service [""Amazon Virtual Private Cloud""]: Blended daily cost"
10962,72,96606,AWS,aws cost http,"AWS Cost: Service [""AmazonCloudWatch""]: Blended daily cost"
10962,72,96600,AWS,aws cost http,"AWS Cost: Service [""EC2 - Other""]: Blended daily cost"
10962,72,96596,AWS,aws cost http,"AWS Cost: Service [""{#AWS.BILLING.SERVICE.NAME}""]: Blended daily cost"
10962,72,96700,AWS,aws cost http,"AWS Cost: [""2022-10""]: Blended cost per month"
10962,72,96701,AWS,aws cost http,"AWS Cost: [""2022-11""]: Blended cost per month"
10962,72,96702,AWS,aws cost http,"AWS Cost: [""2022-12""]: Blended cost per month"
10962,72,96703,AWS,aws cost http,"AWS Cost: [""2023-01""]: Blended cost per month"
10962,72,96704,AWS,aws cost http,"AWS Cost: [""2023-02""]: Blended cost per month"
10962,72,96705,AWS,aws cost http,"AWS Cost: [""2023-03""]: Blended cost per month"
10962,72,96706,AWS,aws cost http,"AWS Cost: [""2023-04""]: Blended cost per month"
10962,72,96707,AWS,aws cost http,"AWS Cost: [""2023-05""]: Blended cost per month"
10962,72,96708,AWS,aws cost http,"AWS Cost: [""2023-06""]: Blended cost per month"
10962,72,96709,AWS,aws cost http,"AWS Cost: [""2023-07""]: Blended cost per month"
10962,72,96710,AWS,aws cost http,"AWS Cost: [""2023-08""]: Blended cost per month"
10962,72,96612,AWS,aws cost http,"AWS Cost: [""AWS CloudShell""]: Month [""2022-11""] Blended cost"
10962,72,96647,AWS,aws cost http,"AWS Cost: [""AWS CloudShell""]: Month [""2023-03""] Blended cost"
10962,72,96655,AWS,aws cost http,"AWS Cost: [""AWS CloudShell""]: Month [""2023-04""] Blended cost"
10962,72,96613,AWS,aws cost http,"AWS Cost: [""AWS Key Management Service""]: Month [""2022-11""] Blended cost"
10962,72,96621,AWS,aws cost http,"AWS Cost: [""AWS Key Management Service""]: Month [""2022-12""] Blended cost"
10962,72,96630,AWS,aws cost http,"AWS Cost: [""AWS Key Management Service""]: Month [""2023-01""] Blended cost"
10962,72,96640,AWS,aws cost http,"AWS Cost: [""AWS Key Management Service""]: Month [""2023-02""] Blended cost"
10962,72,96648,AWS,aws cost http,"AWS Cost: [""AWS Key Management Service""]: Month [""2023-03""] Blended cost"
