name,type,os,macaddress_a,macaddress_b,hardware,hardware_full,contact,location,latitude,longitude,chassis,model,vendor
server1,vmware15,ubuntu-20.04,,,x86_64,,,Ohio,13.97566728,72.44966578,model1,HVM domU,cisco
server2,linux server,ubuntu-20.05,,,x86_64,,,Ohio,18.44246149,88.7775182,model2,HVM domU2,mikrotik
server3,linux server,ubuntu-20.06,,,x86_64,,,Ohio,26.09221433,87.46019309,model2,HVM domU3,mikrotik
server4,win server,server2019,,,x86_64,,Sachin JP <sj@example.org>,Ohio,30.14568919,81.86042139,model2,HVM domU4,forigate
server5,win server,server2017,,,x86_64,,support@cohesive.net,VNS3 Cloud Container,27.30024904,75.17540911,model3,HVM domU5,forigate
server6,vmware15,esxi6,,,x32,,,AWS-Cloud,27.39869025,68.09500224,model4,HVM domU6,mikrotik
server7,vmware15,esxi6,,,x32,,support@cohesive.net,VNS3 Cloud Container,35.52332214,88.39104589,model1,HVM domU7,mikrotik
server8,vmware15,esxi6,,,x32,,,AWS-Cloud,34.21622401,70.29328808,model1,HVM domU8,mikrotik
server9,vmware15,esxi6,,,x32,,,AWS-Cloud,24.65178584,86.66528318,model1,HVM domU9,dell
server10,vmware15,esxi6,,,x33,,,AWS-Cloud,25.52327838,123.3023341,model1,HVM domU10,cisco
server11,vm16,esxi6,,,x34,,,AWS-Cloud,36.43526372,145.5863463,model1,HVM domU11,cisco
server12,vm16,esxi7,,,x35,,,AWS-Cloud,-27.9389547,-52.50560666,model1,HVM domU12,cisco
server13,vm12,esxi7,,,x36,,,AWS-Cloud,28.63492274,130.7371861,model1,HVM domU13,cisco
server14,switch,esxi7,,,x37,,,Azure-cloud,-9.059125661,-50.92075877,model4,HVM domU13,cisco
server15,router,esxi7,,,x98,,,AWS-Cloud,43.66033088,133.1975595,model5,HVM domU13,hp
server16,router,esxi7,,,x98,,,Azure-cloud,34.25146191,-56.23319403,model6,HVM domU13,samsung
server17,switches,esxi7,,,x98,,,Azure-cloud,82.60884956,-52.50069591,model7,HVM domU13,samsung
